START_TIME,2017-03-09T07:20:24.873,,
END_TIME,2017-03-09T08:36:36.343,,
MAX_ITER,50,,
TRIM_OFFSET,0,,
,,,
test_key,run_time (ms),test_size (n),run_time / 40
PAR2_AVG_0_1000,111,1000,2.775
PAR2_AVG_1_5000,15,5000,0.375
PAR2_AVG_2_10000,17,10000,0.425
PAR2_AVG_3_50000,606,50000,15.15
PAR2_AVG_4_100000,551,100000,13.775
PAR2_AVG_5_500000,3699,500000,92.475
PAR2_AVG_6_1000000,7186,1000000,179.65
PAR2_AVG_7_5000000,47293,5000000,1182.325
PAR2_AVG_8_10000000,106486,10000000,2662.15
PAR2_AVG_9_50000000,563497,50000000,14087.425
PAR4_AVG_0_1000,219,1000,5.475
PAR4_AVG_1_5000,409,5000,10.225
PAR4_AVG_2_10000,110,10000,2.75
PAR4_AVG_3_50000,234,50000,5.85
PAR4_AVG_4_100000,700,100000,17.5
PAR4_AVG_5_500000,3698,500000,92.45
PAR4_AVG_6_1000000,7165,1000000,179.125
PAR4_AVG_7_5000000,46260,5000000,1156.5
PAR4_AVG_8_10000000,107540,10000000,2688.5
PAR4_AVG_9_50000000,543343,50000000,13583.575
SEQ_AVG_0_1000,0,1000,0
SEQ_AVG_1_5000,32,5000,0.8
SEQ_AVG_2_10000,46,10000,1.15
SEQ_AVG_3_50000,236,50000,5.9
SEQ_AVG_4_100000,792,100000,19.8
SEQ_AVG_5_500000,5270,500000,131.75
SEQ_AVG_6_1000000,11308,1000000,282.7
SEQ_AVG_7_5000000,73087,5000000,1827.175
SEQ_AVG_8_10000000,162868,10000000,4071.7
SEQ_AVG_9_50000000,944355,50000000,23608.875
