test_key,run_time (ms),test_size (n)
PAR_BEST_0_1000,16,1000
PAR_BEST_1_5000,16,5000
PAR_BEST_2_10000,0,10000
PAR_BEST_3_50000,62,50000
PAR_BEST_4_100000,15,100000
PAR_BEST_5_500000,141,500000
PAR_BEST_6_1000000,234,1000000
PAR_BEST_7_5000000,812,5000000
PAR_BEST_8_10000000,1608,10000000
PAR_BEST_9_50000000,12684,50000000
SEQ_BEST_0_1000,0,1000
SEQ_BEST_1_5000,0,5000
SEQ_BEST_2_10000,15,10000
SEQ_BEST_3_50000,31,50000
SEQ_BEST_4_100000,63,100000
SEQ_BEST_5_500000,157,500000
SEQ_BEST_6_1000000,359,1000000
SEQ_BEST_7_5000000,1483,5000000
SEQ_BEST_8_10000000,9720,10000000
SEQ_BEST_9_50000000,26443,50000000
